FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
00-115-8929,Nuveen Select Maturities Municipal Fund,"Remark Holdings, Inc.",n/a,NYSE,Garden,NIM,$126.32M,Room 1363,1482 Sycamore Way,86-2040228,NASDAQ,065873661-2,MU32 FELQ 7422 5459 9460 5291 139X NJ,49349-912,Euro,EUR
00-130-1784,Public Storage,Public Storage,Consumer Services,NYSE,Tools,PSA^D,n/a,Suite 69,991 Prairieview Alley,61-0751202,NYSE,049865802-3,MK31 0813 SJZU ORDV B76,52125-909,Ruble,RUB
00-138-0650,CSX Corporation,CSX Corporation,Transportation,NASDAQ,Industrial,CSX,$48.66B,19th Floor,2 Prentice Road,68-8209054,NASDAQ,699822169-X,FR63 4861 3285 53X9 WDCH FYLG S57,0172-3759,Euro,EUR
00-165-4987,China Lending Corporation,"China Advanced Construction Materials Group, Inc.",Finance,NASDAQ,Health,CLDC,$109.03M,Room 1706,11293 Sutherland Avenue,44-3076544,NASDAQ,518581586-8,FR13 1573 5743 209H 9XB5 CMMO N52,44019-001,Euro,EUR
00-194-5364,"EPAM Systems, Inc.","Aaron's,  Inc.",Technology,NYSE,Kids,EPAM,$4.28B,Suite 98,1684 Pawling Park,53-6555486,NYSE,176081098-3,KZ39 700K IZXN RC78 Z6QE,68788-9834,Euro,EUR
00-213-7469,"Dillard's, Inc.","Dillard's, Inc.",Consumer Services,NYSE,Games,DDS,$1.62B,PO Box 60282,16 Columbus Street,66-0471938,NASDAQ,858604694-9,FR76 2758 8411 43ZZ SCKC N2GR C14,65601-777,Dollar,NZD
00-295-6161,Meridian Bioscience Inc.,Vornado Realty Trust,Health Care,NASDAQ,Automotive,VIVO,$654.14M,19th Floor,12 Russell Center,10-2530495,NYSE,084809087-X,AL72 7314 0186 PBA0 XLAI GQOA AD28,41520-319,Yuan Renminbi,CNY
00-297-2566,PennantPark Investment Corporation,PennantPark Investment Corporation,n/a,NASDAQ,Clothing,PNNT,$531.54M,11th Floor,20 Kim Place,80-8889688,NYSE,389311644-3,DE38 7862 4828 1906 1035 45,54868-4095,Real,BRL
00-300-7133,"CommerceHub, Inc.","Determine, Inc. ",Technology,NASDAQ,Outdoors,CHUBK,$733.08M,9th Floor,13379 Manitowish Court,96-6478692,NASDAQ,434188641-X,CR88 8926 8540 6034 2866 5,68788-8001,Somoni,TJS
00-301-6959,"Pandora Media, Inc.","Pandora Media, Inc.",Consumer Services,NYSE,Music,P,$1.68B,Suite 58,10899 Macpherson Park,95-3757019,NYSE,149034201-X,AD41 2859 4270 OOIU CQXS 3XR0,14537-967,Rupiah,IDR
00-320-0804,Comcast Corporation,Bright Horizons Family Solutions Inc.,Consumer Services,NYSE,Jewelry,CCZ,n/a,PO Box 44069,69 Anderson Way,18-3424868,NYSE,545459397-4,FR82 2376 0462 50M4 HJP8 QOR1 G82,63029-433,Shilling,UGX
00-329-1084,iShares iBoxx $ High Yield ex Oil & Gas Corporate Bond ETF,Macerich Company (The),n/a,NASDAQ,Jewelry,HYXE,$10.42M,PO Box 23357,26287 Aberg Place,77-4730423,NYSE,565927409-9,PS19 TYKI YJXU VHWJ B2F4 80FI 039P K,63824-740,Dollar,USD
00-383-7796,Quinpario Acquisition Corp. 2,"Lands' End, Inc.",Miscellaneous,NASDAQ,Outdoors,QPACU,n/a,PO Box 64460,371 Bartelt Court,26-3458475,NASDAQ,623935150-4,ME75 2720 1139 4381 7195 19,13668-031,Peso,PHP
00-453-2876,"Golden Entertainment, Inc.",Enterprise Products Partners L.P.,Consumer Services,NASDAQ,Sports,GDEN,$462.74M,Suite 9,86 Lotheville Junction,55-5617570,NYSE,692949341-4,FR43 2429 9356 81MR N8M5 OXIV K47,50184-1005,Yuan Renminbi,CNY
00-454-7270,"CoreCivic, Inc.",Varex Imaging Corporation,Consumer Services,NYSE,Jewelry,CXW,$3.31B,18th Floor,36 Elgar Center,80-7210668,NASDAQ,471650702-5,MR87 3991 5668 4614 2507 8968 741,10956-812,Yuan Renminbi,CNY
00-466-4463,OUTFRONT Media Inc.,Cherokee Inc.,Consumer Services,NYSE,Tools,OUT,$3.27B,Apt 1468,7024 Claremont Court,66-7032457,NASDAQ,619253101-3,FR14 4452 9610 91W7 LZQD RB4U F31,54365-161,Dollar,USD
00-535-8957,Celanese Corporation,New York Times Company (The),Basic Industries,NYSE,Automotive,CE,$12.76B,PO Box 97797,79 Londonderry Court,81-5271356,NYSE,806576317-0,MU97 RPNE 6680 5832 0321 9879 661E QZ,52124-0112,Pound,EGP
00-536-2016,Brookfield Property Partners L.P.,Brookfield Property Partners L.P.,Finance,NYSE,Games,BPY,$5.91B,3rd Floor,72 Grayhawk Parkway,09-8540267,NASDAQ,606398267-1,TN63 7534 0245 0395 9512 7374,68788-9126,Naira,NGN
00-539-1523,Apartment Investment and Management Company,Apartment Investment and Management Company,Consumer Services,NYSE,Industrial,AIV,$6.99B,Apt 1137,0 Oxford Plaza,24-2333871,NASDAQ,259561327-8,DK24 9823 8401 3459 34,17312-023,Ruble,RUB
00-540-9858,"Rave Restaurant Group, Inc.",Iridium Communications Inc,Consumer Non-Durables,NASDAQ,Electronics,RAVE,$22.17M,PO Box 91839,5844 Anderson Park,74-5413079,NASDAQ,942280967-3,HU19 2836 7483 6149 6192 6431 0426,50558-001,Dollar,USD
00-554-1958,Mitel Networks Corporation,Mitel Networks Corporation,Technology,NASDAQ,Beauty,MITL,$905.69M,PO Box 31329,9 Northport Center,,,817690193-8,SK71 9837 7309 1107 4794 4735,52125-748,Yuan Renminbi,CNY
00-562-8836,U.S. Bancorp,"TerraForm Global, Inc.",n/a,NYSE,Garden,USB^O,n/a,Suite 81,291 Holy Cross Plaza,46-1538462,NASDAQ,410842595-2,CH57 2226 7YOF 71JR UX5J 7,54838-115,Rupiah,IDR
00-583-8223,Eaton Vance Tax-Advantaged Global Dividend Income Fund,"Polar Power, Inc.",n/a,NYSE,Garden,ETG,$1.29B,Room 1112,9 Nancy Circle,94-6976746,NASDAQ,815092046-3,NL31 LMPS 3505 7301 42,54569-3693,Ruble,RUB
00-587-5079,"Fred's, Inc.","Fred's, Inc.",Consumer Services,NASDAQ,Music,FRED,$408.67M,Suite 8,3 Continental Point,57-9264293,NASDAQ,147818996-7,GR45 6680 730T 60RB MX7C LMVJ ZWF,37000-476,Ruble,RUB
00-634-3557,"T2 Biosystems, Inc.",BlackRock Utility and Infrastructure Trust,Health Care,NASDAQ,Books,TTOO,$106.47M,PO Box 5154,91579 Vermont Pass,92-3417818,NYSE,692110576-8,FR79 0011 7750 29MQ RCVY DYKY A43,10237-804,Peso,DOP
00-690-7391,Nuveen High Income 2020 Target Term Fund,Meritage Corporation,n/a,NYSE,Home,JHA,$296.92M,Room 1825,8308 Barnett Place,05-7068801,NYSE,138231248-2,GR93 2930 260D CEMW K3ZJ C1LJ LTJ,63304-873,Ruble,RUB
00-691-0404,"Wheeler Real Estate Investment Trust, Inc.","Sierra Oncology, Inc.",Consumer Services,NASDAQ,Shoes,WHLRW,n/a,Suite 2,1238 Dahle Circle,58-6125961,NASDAQ,087494733-2,GL79 1547 5133 4316 37,53329-168,Ruble,RUB
00-708-0075,Amedica Corporation,INVESCO MORTGAGE CAPITAL INC,Health Care,NASDAQ,Baby,AMDA,$11.24M,PO Box 39443,15718 Victoria Way,34-0503101,NYSE,015938235-1,BG31 WEQB 6443 80OO SQZC W5,10812-328,Lempira,HNL
00-781-0598,"United-Guardian, Inc.","CoreCivic, Inc.",Consumer Non-Durables,NASDAQ,Home,UG,$70.33M,Room 1390,396 Sundown Point,15-1528651,NYSE,102765407-X,AL90 5880 4602 VSXG FJ7D GY6P WDTQ,57664-112,Peso,PHP
00-793-6409,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",Finance,NYSE,Clothing,AMG,$9.3B,Suite 16,43 Ilene Drive,21-1391411,NASDAQ,931104861-5,IL80 8510 9726 3171 3280 425,67877-248,Sol,PEN
00-797-5704,Prospect Capital Corporation,Landmark Infrastructure Partners LP,n/a,NASDAQ,Movies,PSEC,$2.9B,2nd Floor,11806 Amoth Junction,51-0016076,NASDAQ,278446890-9,MT06 RVED 8482 2GVA IBJD KMOB K7C5 V5W,55154-6922,Ariary,MGA
00-845-7017,Bank Of Montreal,"Keryx Biopharmaceuticals, Inc.",Finance,NYSE,Books,BMO,$45.89B,Room 1450,2546 Dunning Circle,53-1112391,NASDAQ,908751050-0,HU51 0859 8028 0625 0858 9238 6896,60760-433,Peso,ARS
00-854-5017,"Dillard's, Inc.",Performant Financial Corporation,Consumer Services,NYSE,Beauty,DDT,n/a,Apt 1009,4 Brickson Park Avenue,08-4277966,NASDAQ,198655592-5,MC38 0577 0559 875V HYJT KKVG Y01,49349-372,Peso,PHP
00-898-0886,"Global Blood Therapeutics, Inc.",Western Alliance Bancorporation,Health Care,NASDAQ,Beauty,GBT,$1.16B,PO Box 52517,22 Raven Park,48-0748249,NYSE,677542768-9,GB64 ZAZI 2072 6611 1943 77,63972-009,Krone,NOK
00-927-4977,"Lazard World Dividend & Income Fund, Inc.",Appian Corporation,n/a,NYSE,Jewelry,LOR,$76.04M,Suite 47,57692 Eggendart Plaza,91-2423490,NASDAQ,652237006-9,IT70 J072 9618 4130 Y7BN 7MUV 07Y,21695-523,Yuan Renminbi,CNY
01-004-4231,SVB Financial Group,Capella Education Company,Finance,NASDAQ,Grocery,SIVB,$9.39B,Suite 30,0 Sheridan Trail,52-7822880,NASDAQ,472551575-2,CZ16 8501 8698 8554 0725 7882,64980-131,Yuan Renminbi,CNY
01-014-0948,Bel Fuse Inc.,"Blackrock MuniYield Fund, Inc.",Capital Goods,NASDAQ,Grocery,BELFB,$312.96M,Room 1512,76143 American Ash Lane,31-5582268,NYSE,213310786-X,AZ48 UKNL GH2A IS8O VHLJ HVBQ QPOV,0132-0079,Guarani,PYG
01-033-5092,Nuveen Core Equity Alpha Fund,Nuveen Core Equity Alpha Fund,n/a,NYSE,Music,JCE,$234.72M,PO Box 59725,7 Bonner Alley,58-4860385,NASDAQ,553764801-6,BH18 HLJK 7RTB 2ETN YVG4 FL,0078-0387,Euro,EUR
01-049-8041,Capstone Turbine Corporation,Capstone Turbine Corporation,Energy,NASDAQ,Computers,CPST,$28.65M,Apt 1140,9171 Corscot Lane,89-5257825,NYSE,945497720-2,ME80 0810 1220 4438 0705 79,35573-200,Rupiah,IDR
01-069-1368,iShares FTSE EPRA/NAREIT Europe Index Fund,"Spartan Motors, Inc.",n/a,NASDAQ,Movies,IFEU,$42.37M,Room 1790,9953 Granby Plaza,19-9757343,NASDAQ,207960990-4,IT84 U651 6281 9517 HQL3 PDAY JTS,21695-503,Franc,XOF
01-082-3425,Black Hills Corporation,Ternium S.A.,Public Utilities,NYSE,Garden,BKH,$3.84B,Room 790,72 Grasskamp Terrace,88-2208479,NYSE,267174806-X,FR32 6273 8645 59GT LKYQ NF5Z D65,11822-0668,Rupiah,IDR
01-083-9121,Legacy Reserves LP,"AxoGen, Inc.",Energy,NASDAQ,Tools,LGCYP,$13.08M,Suite 16,3 Stone Corner Avenue,06-0613966,NASDAQ,006812473-2,VG19 LONC 5314 9031 9815 1992,33261-672,Dollar,USD
01-101-6406,"RealNetworks, Inc.",Global Medical REIT Inc.,Technology,NASDAQ,Home,RNWK,$165.47M,19th Floor,1426 Twin Pines Place,06-6954564,NYSE,866316112-3,PL09 5885 0258 2990 0086 6486 5374,24571-114,Real,BRL
01-114-1198,Astoria Financial Corporation,Astoria Financial Corporation,n/a,NYSE,Electronics,AF^C,n/a,15th Floor,5816 Moulton Circle,37-6588734,NYSE,234776712-7,FR83 6695 9068 89NZ JJ2O E3VR D06,11673-742,Rupiah,IDR
01-130-6286,First Trust Nasdaq Pharmaceuticals ETF,First Trust Nasdaq Pharmaceuticals ETF,n/a,NASDAQ,Automotive,FTXH,$2.01M,Room 521,138 Norway Maple Circle,18-9973074,NASDAQ,146010746-2,IL89 1639 3858 9463 2063 518,67386-310,Rupiah,IDR
01-134-3441,"LendingTree, Inc.",Brainstorm Cell Therapeutics Inc.,Finance,NASDAQ,Automotive,TREE,$2.03B,PO Box 21918,71 Kedzie Court,46-8083800,NASDAQ,757657787-8,GL75 1755 3883 8022 36,60505-0268,Dong,VND
01-228-8874,"United Continental Holdings, Inc.","Qorvo, Inc.",Transportation,NYSE,Music,UAL,$23.78B,Suite 34,41740 Dawn Hill,17-4707909,NASDAQ,069356126-2,FR37 6964 1364 83SB HMHC TUWK I99,24385-471,Yuan Renminbi,CNY
01-238-5213,"Condor Hospitality Trust, Inc.","American Software, Inc.",Consumer Services,NASDAQ,Beauty,CDOR,$121.9M,PO Box 20998,52324 Springs Lane,12-8083201,NASDAQ,089961292-X,FR48 7592 1216 20LN IOLL CHZL K86,51009-248,Krone,DKK
01-252-2201,"Porter Bancorp, Inc.","Porter Bancorp, Inc.",Finance,NASDAQ,Industrial,PBIB,$62.59M,Room 1236,510 Hintze Plaza,77-0333249,NYSE,906113519-2,TN57 8275 2424 1257 1600 3841,49348-937,Yuan Renminbi,CNY
01-254-2405,Geo Group Inc (The),Eagle Bulk Shipping Inc.,Consumer Services,NYSE,Electronics,GEO,$3.72B,Suite 16,703 Maryland Road,97-8511449,NASDAQ,384411345-2,FR02 8534 1214 99MP IUUP X25A K90,50488-0901,Peso,MXN
01-255-2011,"Acasti Pharma, Inc.",Public Storage,Health Care,NASDAQ,Books,ACST,$18.98M,Apt 930,51 Weeping Birch Avenue,01-4256171,NYSE,980640967-1,FR56 3652 9570 72FN ZBFA D53S 358,16477-161,Naira,NGN
01-265-7343,Atlantic American Corporation,Atlantic American Corporation,Finance,NASDAQ,Home,AAME,$74.51M,Room 362,137 Thierer Point,46-4881833,NASDAQ,771095418-9,RO47 LFPD G6GA WUC8 3HBC GBXV,63187-032,Rufiyaa,MVR
01-269-6961,"Sigma Designs, Inc.","Sigma Designs, Inc.",Technology,NASDAQ,Music,SIGM,$221.54M,Room 68,6 Reinke Junction,85-0681581,NASDAQ,400442373-2,KZ54 845Z WGIP W1DW 3CLK,42508-255,Euro,EUR
01-279-3295,"SGOCO Group, Ltd",SVB Financial Group,Technology,NASDAQ,Health,SGOC,$12.16M,PO Box 6163,9 Elka Hill,12-3514876,NASDAQ,059854938-2,EE75 8402 0780 6202 2365,11673-321,Hryvnia,UAH
01-295-6390,NBT Bancorp Inc.,CymaBay Therapeutics Inc.,Finance,NASDAQ,Automotive,NBTB,$1.64B,PO Box 69265,3 Raven Lane,80-3002767,NASDAQ,949479779-5,FR20 1559 8772 54F6 BB4J OCCC 868,64058-211,Rupiah,IDR
01-314-0267,Aetna Inc.,Protective Life Corporation,Health Care,NYSE,Outdoors,AET,$49.95B,Apt 971,8849 Blaine Circle,13-1691408,NYSE,045989678-4,RS90 5953 6607 3799 6816 31,43598-018,Rupiah,IDR
01-366-7508,CDW Corporation,CDW Corporation,Consumer Services,NASDAQ,Beauty,CDW,$9.73B,PO Box 1839,0667 Hansons Center,19-6123730,NASDAQ,634420689-6,SM19 T384 5161 955O O0I8 UGBW KID,49230-206,Hryvnia,UAH
01-385-9581,Central Garden & Pet Company,Central Garden & Pet Company,Consumer Durables,NASDAQ,Toys,CENTA,$1.51B,PO Box 51539,7 Shopko Center,57-1603856,NASDAQ,561725804-4,MT13 YQRZ 0520 1PNT R4GY U9SS LOZC IHZ,49967-384,Rupiah,IDR
01-454-3915,Renasant Corporation,Alliant Energy Corporation,Finance,NASDAQ,Clothing,RNST,$1.94B,11th Floor,8 Dovetail Parkway,47-1198044,NYSE,057688986-5,CR12 2048 1046 9406 5037 5,0615-7514,Kuna,HRK
01-456-8369,OFG Bancorp,OFG Bancorp,Finance,NYSE,Toys,OFG^A,n/a,19th Floor,1 Helena Place,18-9624996,NYSE,563743052-7,TR34 7631 82AJ 7FPI L1DY BRIB YP,68654-855,Bolivar,VEF
01-469-1297,"Huntington Ingalls Industries, Inc.","Liberty Expedia Holdings, Inc.",Capital Goods,NYSE,Automotive,HII,$8.56B,Room 845,79 Park Meadow Hill,40-7386424,NASDAQ,440950041-4,GB24 ECRE 4588 2947 3664 16,11822-0179,Taka,BDT
01-473-1882,"ClubCorp Holdings, Inc.",PowerShares Global Gold & Precious Metals Portfolio,Consumer Services,NYSE,Kids,MYCC,$871.53M,20th Floor,10162 Division Way,16-3386225,NASDAQ,373190147-1,VG10 GRPN 2867 9482 0635 4933,65862-581,Yuan Renminbi,CNY
01-484-0252,Teledyne Technologies Incorporated,ResMed Inc.,Capital Goods,NYSE,Grocery,TDY,$4.62B,Suite 27,0 Chinook Terrace,64-4195270,NYSE,533478873-5,CH70 2854 1SRT EODF NAFO T,0409-7809,Yuan Renminbi,CNY
01-497-8586,"GlycoMimetics, Inc.",Cloud Peak Energy Inc,Health Care,NASDAQ,Baby,GLYC,$396.21M,PO Box 68056,915 High Crossing Junction,33-2577991,NYSE,227564527-6,FR77 3453 9691 03X0 T2XT FLEK X05,54595-001,Yuan Renminbi,CNY
01-511-3269,"LifePoint Health, Inc.","Nexeo Solutions, Inc.",Health Care,NASDAQ,Electronics,LPNT,$2.59B,PO Box 92247,72090 Northview Road,30-5486226,NASDAQ,894690516-6,FR34 1780 6628 258F RTK8 LVIE A79,68382-129,Rupiah,IDR
01-554-5074,Adaptimmune Therapeutics plc,"China Information Technology, Inc.",Health Care,NASDAQ,Outdoors,ADAP,$427.28M,16th Floor,3019 Blue Bill Park Court,60-9617289,NASDAQ,021475719-6,FR09 8389 8957 97LB RARI IMHX E12,0703-9040,Lev,BGN
01-565-8801,Rexnord Corporation,Golar LNG Limited,Technology,NYSE,Shoes,RXN,$2.44B,16th Floor,032 Hanson Point,29-3509449,NASDAQ,631110246-3,BR91 1846 2964 2477 9338 3453 831J A,62011-0233,Yuan Renminbi,CNY
01-571-0184,Conyers Park Acquisition Corp.,"SunTrust Banks, Inc.",Finance,NASDAQ,Clothing,CPAAU,n/a,Room 1838,960 Waxwing Way,34-1871870,NYSE,143803348-6,SA64 01AW KGI8 QSAV SQRX V914,62756-293,Rupiah,IDR
01-585-6066,"Air Transport Services Group, Inc",Global Partner Acquisition Corp.,Transportation,NASDAQ,Industrial,ATSG,$1.31B,Room 221,8761 Towne Alley,07-9379488,NASDAQ,726053256-4,BR09 2832 8703 9029 2269 2971 039H Q,62250-801,Rupiah,IDR
01-588-5101,Horizons NASDAQ-100 Covered Call ETF,"Willbros Group, Inc.",n/a,NASDAQ,Games,QYLD,$19.06M,10th Floor,6 Browning Road,53-1078723,NYSE,161087898-1,DO11 FUWO 7564 4826 2872 5795 2083,50114-4336,Koruna,CZK
01-599-4421,"Stein Mart, Inc.",ASA Gold and Precious Metals Limited,Consumer Services,NASDAQ,Jewelry,SMRT,$82.39M,Room 911,35122 Beilfuss Park,43-5537842,NYSE,150293322-5,BH14 JWJF FYJ7 6RF8 5FSQ RT,42571-104,Zloty,PLN
01-610-3603,"Image Sensing Systems, Inc.","Image Sensing Systems, Inc.",Capital Goods,NASDAQ,Movies,ISNS,$16.99M,Room 966,5804 Brentwood Parkway,62-1899113,NASDAQ,938859053-8,FR41 7154 5787 30FR 3XLI SPKI U03,47335-714,Rupiah,IDR
01-615-6884,Scotts Miracle-Gro Company (The),Scotts Miracle-Gro Company (The),Basic Industries,NYSE,Electronics,SMG,$5.23B,PO Box 1126,1 Sunfield Court,60-1774832,NYSE,327465359-4,BE44 6380 3327 7424,13733-060,Dong,VND
01-642-8448,"Chanticleer Holdings, Inc.","PCM, Inc.",Consumer Services,NASDAQ,Movies,HOTR,$6.31M,Room 657,236 Merry Place,52-6369878,NASDAQ,805177325-X,CY67 3893 7982 G6RV HB6R RW0O JBJD,0093-7146,Euro,EUR
01-651-6027,"Surgery Partners, Inc.",American Water Works,Health Care,NASDAQ,Clothing,SGRY,$1.1B,Suite 70,68 Lillian Junction,86-6464455,NYSE,811524285-3,MU73 BRGV 4302 5858 3947 1332 892A OE,0052-0107,Real,BRL
01-667-5509,Axis Capital Holdings Limited,"Dril-Quip, Inc.",Finance,NYSE,Electronics,AXS,$5.53B,PO Box 30530,7 Pine View Center,86-9563572,NYSE,497265734-0,LV32 HVGK CJAF JXXR I0O9 O,61722-208,Yuan Renminbi,CNY
01-669-2137,"AmTrust Financial Services, Inc.",Nabors Industries Ltd.,n/a,NYSE,Books,AFSI^A,n/a,6th Floor,494 Crescent Oaks Avenue,08-6451512,NYSE,851295657-7,FR30 4470 5034 30JF PVXK 0G0Y J48,55910-056,Yuan Renminbi,CNY
01-679-2303,Range Resources Corporation,Gaming Partners International Corporation,Energy,NYSE,Electronics,RRC,$5.79B,18th Floor,773 Commercial Junction,95-8155961,NASDAQ,382352060-1,MC24 2895 6204 739Q 6VLU ID25 B36,54868-4286,Ruble,RUB
01-701-7697,NewJersey Resources Corporation,NewJersey Resources Corporation,Public Utilities,NYSE,Baby,NJR,$3.72B,Apt 1248,9 Northport Plaza,55-9388906,NASDAQ,937917830-1,NO26 5037 9761 699,36987-2831,Euro,EUR
01-724-9745,Scudder Municiple Income Trust,Scudder Municiple Income Trust,n/a,NYSE,Sports,KTF,$532.25M,PO Box 62997,143 Buhler Way,41-9084743,NASDAQ,332743021-7,FR43 2460 5039 49RC GJXP IELC 939,49349-282,Dollar,CAD
01-746-1837,"Beazer Homes USA, Inc.","Aclaris Therapeutics, Inc.",Capital Goods,NYSE,Clothing,BZH,$428.38M,Apt 1154,6182 Mccormick Parkway,75-3158827,NASDAQ,958898068-2,FR31 0962 7661 57SK GQ1L 92QO Q68,54868-5343,Euro,EUR
01-782-3562,"CEVA, Inc.","CEVA, Inc.",Technology,NASDAQ,Jewelry,CEVA,$979.59M,Room 1715,54 Cody Street,73-8671602,NASDAQ,989262338-X,GL80 7383 4196 6095 88,24909-108,Yuan Renminbi,CNY
01-788-4872,Advanced Accelerator Applications S.A.,Advanced Accelerator Applications S.A.,Health Care,NASDAQ,Clothing,AAAP,$1.63B,6th Floor,09325 Lien Center,03-6808502,NYSE,276576802-1,FR06 6278 9006 95RM 5QAM 6O74 H49,11673-096,Pound,EGP
01-788-8611,iShares S&P Global Clean Energy Index Fund,iShares S&P Global Clean Energy Index Fund,n/a,NASDAQ,Movies,ICLN,$85.5M,PO Box 12923,93 Porter Terrace,21-7035668,NASDAQ,660672477-5,SA83 62II 8CZ0 R76H 5HUZ OXXG,35356-893,Rupiah,IDR
01-809-8656,Hess Corporation,"U.S. Physical Therapy, Inc.",n/a,NYSE,Movies,HES^A,n/a,Apt 1425,448 Sommers Place,39-4201752,NYSE,557693713-9,AE41 5323 1396 0216 4847 328,66977-107,Yuan Renminbi,CNY
01-832-4582,"Soligenix, Inc.","Soligenix, Inc.",Health Care,NASDAQ,Garden,SNGXW,n/a,Apt 1139,6542 Milwaukee Avenue,32-8568264,NASDAQ,449043259-3,RS68 7343 0940 9138 3591 25,63550-194,Dollar,USD
01-833-3958,"Citrix Systems, Inc.",John Hancock Pfd Income Fund II,Technology,NASDAQ,Electronics,CTXS,$12.08B,15th Floor,57455 Rusk Way,05-1066530,NYSE,994528985-3,LU56 464C BWLX WY1P DWLL,0404-0375,Euro,EUR
01-841-4601,Westinghouse Air Brake Technologies Corporation,"Trupanion, Inc.",Capital Goods,NYSE,Toys,WAB,$8.53B,Room 576,7656 Helena Court,73-6488050,NASDAQ,817096827-5,AT09 7099 8905 2352 1943,35356-252,Peso,PHP
01-851-1462,"Celadon Group, Inc.","Celadon Group, Inc.",Transportation,NYSE,Tools,CGI,$86.31M,Suite 63,20887 Derek Lane,95-0171976,NASDAQ,653125589-7,MC55 8794 9439 93TY QNHK SDGI G14,49884-302,Kuna,HRK
01-869-3581,VictoryShares US Small Cap Volatility Wtd ETF,VictoryShares US Small Cap Volatility Wtd ETF,n/a,NASDAQ,Home,CSA,$2.17B,Apt 564,895 Forest Run Avenue,96-2664823,NASDAQ,343318543-3,CY57 1694 5897 O7QY GGWZ YGVV EMB7,72036-370,Dollar,CAD
01-968-1316,Diana Shipping inc.,Tekla World Healthcare Fund,Transportation,NYSE,Electronics,DSXN,n/a,Suite 22,63 Kropf Court,67-6007592,NYSE,649854134-2,MT11 QKTX 0701 0MAA QQYB WSWH 3KPQ BAI,0078-0127,Yuan Renminbi,CNY
01-979-6246,"EQT GP Holdings, LP","Axcelis Technologies, Inc.",Public Utilities,NYSE,Games,EQGP,$6.64B,4th Floor,42463 Fair Oaks Junction,00-0350914,NASDAQ,243475231-4,KZ84 608A WUYG UTSF 937S,63354-031,Yuan Renminbi,CNY
01-990-0388,State Auto Financial Corporation,State Auto Financial Corporation,Finance,NASDAQ,Shoes,STFC,$1.09B,Apt 1954,15 Hagan Way,49-2513447,NASDAQ,785306814-X,PT33 2390 2958 4791 4928 6205 7,0378-0214,Ruble,RUB
