FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,broker_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
08-526-0080,Mechel PAO,"VBI Vaccines, Inc.",Basic Industries,NYSE,Games,MTL,$884.58M,Room 540,26852 Westend Hill,57-7815798,54569-1983,NASDAQ,096953037-4,BH36 FOLR R5CA LKXT F7G4 2D,,Krona,SEK
85-906-4972,Legacy Reserves LP,WGL Holdings Inc,Energy,NASDAQ,Outdoors,LGCYP,$13.08M,PO Box 59623,057 Merry Alley,59-1627002,65517-0014,NYSE,248263005-3,FR37 0411 2024 02L1 42AT TPHK Q40,,Euro,EUR
38-009-8911,Blackrock Enhanced Equity Dividend Trust,"Sevcon, Inc.",n/a,NYSE,Home,BDJ,$1.66B,PO Box 54373,541 Reinke Pass,83-8838580,12546-321,NASDAQ,745859987-1,DO37 TNJN 5217 8403 6350 6643 0294,,Euro,EUR
16-610-0229,"BioTelemetry, Inc.",PowerShares KBW Premium Yield Equity REIT Portfolio,Health Care,NASDAQ,Sports,BEAT,$819.54M,18th Floor,19 International Lane,89-0625038,51060-059,NASDAQ,860868568-X,GL20 8858 4079 4603 63,,Yuan Renminbi,CNY
24-754-5936,"LivePerson, Inc.","Boingo Wireless, Inc.",Technology,NASDAQ,Baby,LPSN,$663.34M,10th Floor,26852 Vermont Parkway,54-4749996,98132-138,NASDAQ,207211058-0,MT44 HGNV 7898 5GKH LQZV ITUH JSOY BLR,,Yen,JPY
00-801-0339,John Bean Technologies Corporation,NASDAQ TEST STOCK,Technology,NYSE,Tools,JBT,$2.89B,15th Floor,7 Corscot Place,90-9314606,36987-1577,NYSE,397081407-3,BG46 QGHU 7312 741A ZQYJ I6,,Yuan Renminbi,CNY
18-603-0178,United Community Bancorp,"Lands' End, Inc.",Finance,NASDAQ,Tools,UCBA,$79.88M,PO Box 46001,4309 Menomonie Circle,59-8478051,37012-950,NASDAQ,977756339-6,RS30 7162 3013 8124 5381 88,,Yuan Renminbi,CNY
00-651-4769,Lannett Co Inc,"Dominion Energy, Inc.",Health Care,NYSE,Kids,LCI,$688.77M,Suite 22,68 Mosinee Park,86-9440179,51346-025,NYSE,595104511-8,MR83 5413 1535 1440 9613 7981 370,,Cordoba,NIO
49-695-9103,Nuveen High Income 2020 Target Term Fund,"GNC Holdings, Inc.",n/a,NYSE,Toys,JHA,$296.92M,Room 150,02856 8th Trail,16-3784067,0456-0464,NYSE,842411938-X,SM72 H252 1993 112Q ZPWH COS4 GMG,,Koruna,CZK
06-073-9539,Equity Residential,Lakeland Financial Corporation,Consumer Services,NYSE,Jewelry,EQR,$25.18B,PO Box 32455,93338 Golf View Crossing,77-9514684,0268-6707,NASDAQ,719182933-8,FO32 4350 9666 4340 63,,Yuan Renminbi,CNY
24-821-1349,Retail Opportunity Investments Corp.,"Gulf Resources, Inc.",Consumer Services,NASDAQ,Garden,ROIC,$2.15B,Room 1131,50 Loomis Place,55-3529799,64092-108,NASDAQ,325203373-9,FR67 9092 2696 242F AH1D L4YT X04,,Real,BRL
58-562-1104,"China Ceramics Co., Ltd.","Codexis, Inc.",Capital Goods,NASDAQ,Jewelry,CCCL,$4.5M,Apt 31,1358 Melby Park,43-2777743,52565-013,NASDAQ,861789474-1,PL56 8537 4190 3376 7343 3933 5582,,Ruble,RUB
41-778-9252,Nova Measuring Instruments Ltd.,"Simulations Plus, Inc.",Capital Goods,NASDAQ,Computers,NVMI,$641.08M,18th Floor,223 International Alley,76-0524505,63629-1862,NASDAQ,592404291-X,IS42 5891 8507 8855 6708 4729 84,,Dinar,LYD
24-507-9701,"Coeur Mining, Inc.",NVIDIA Corporation,Basic Industries,NYSE,Toys,CDE,$1.52B,Suite 99,982 Orin Terrace,07-0094644,36987-2483,NASDAQ,310467043-9,MD24 CRTQ IQUH OG11 M4GD JHBG,,Zloty,PLN
02-402-9624,"Hawaiian Electric Industries, Inc.",Astrotech Corporation,Public Utilities,NYSE,Tools,HE,$3.65B,PO Box 74222,6 Spohn Drive,43-9415809,10812-431,NASDAQ,716046688-8,LI94 6757 4JOB 0HMV ZHXV 9,,Hryvnia,UAH
84-457-0297,"BWX Technologies, Inc.",Signet Jewelers Limited,Energy,NYSE,Games,BWXT,$4.72B,Apt 9,9 Lyons Crossing,38-5250080,67877-159,NYSE,282519211-2,SA60 39ZJ HRV5 CXGE IDKG LJZQ,,Dirham,MAD
10-862-5623,Western Asset Mortgage Capital Corporation,"Foundation Building Materials, Inc.",Consumer Services,NYSE,Outdoors,WMC,$442.25M,Apt 1775,23144 Forest Pass,49-9786795,0069-5800,NYSE,092055996-4,GL43 3288 0945 7949 93,,Rupiah,IDR
58-019-7095,Reading International Inc,"CBIZ, Inc.",Consumer Services,NASDAQ,Sports,RDI,$367M,Apt 458,155 Prairieview Alley,02-8545985,0527-1461,NYSE,437827013-7,ME81 6225 4387 8313 1788 96,,Sol,PEN
38-020-2086,"Trex Company, Inc.",Highway Holdings Limited,Basic Industries,NYSE,Automotive,TREX,$1.99B,PO Box 95955,64372 South Way,21-9306281,53808-0814,NASDAQ,151759893-1,FR34 4097 1414 32UN G4V2 WRZG P87,,Dollar,CAD
93-459-8342,"iRhythm Technologies, Inc.",Thermo Fisher Scientific Inc,Health Care,NASDAQ,Jewelry,IRTC,$861.13M,10th Floor,4 Ridgeway Way,49-2303687,52125-962,NYSE,815804097-7,TN50 1875 8139 3591 7729 2237,,Dollar,XCD
18-102-9410,On Track Innovations Ltd,Orthofix International N.V.,Technology,NASDAQ,Baby,OTIV,$51.37M,Room 1803,459 Caliangt Avenue,34-2385702,11399-005,NASDAQ,115107784-4,FI31 0914 1171 2826 29,,Rupiah,IDR
13-283-0477,"Capricor Therapeutics, Inc.","B. Riley Financial, Inc.",Health Care,NASDAQ,Toys,CAPR,$15.82M,Apt 1201,2317 Columbus Center,93-0435692,67296-0320,NASDAQ,093523785-2,SE31 9992 0241 3319 6274 5078,,Ruble,RUB
66-797-6991,McKesson Corporation,"Tarena International, Inc.",Health Care,NYSE,Garden,MCK,$33.71B,Room 962,1 Arizona Terrace,53-7092945,0078-0617,NASDAQ,231200842-4,SI29 6626 6555 7415 223,,Rupiah,IDR
50-877-9211,Sussex Bancorp,SLM Corporation,Finance,NASDAQ,Automotive,SBBX,$119.06M,Apt 276,60 Elgar Street,64-0686581,59779-379,NASDAQ,653861992-4,FR66 8275 6828 87CB 3YDC JMMD X83,,Peso,PHP
38-557-9014,Citigroup Inc.,Axis Capital Holdings Limited,n/a,NYSE,Baby,C^L,n/a,Apt 1607,90832 Mosinee Plaza,15-1479858,68703-051,NYSE,576992288-5,PL26 9465 5148 5191 3408 0560 9672,,Dollar,USD
93-729-0408,"Enova International, Inc.","CenterPoint Energy, Inc.",Finance,NYSE,Electronics,ENVA,$487.29M,Suite 21,10591 Fallview Pass,23-1565089,58118-0168,NYSE,388991223-0,MU98 HDWD 7882 5039 1908 3220 972M FK,,Ruble,RUB
15-677-2166,Turquoise Hill Resources Ltd.,"Sophiris Bio, Inc.",Basic Industries,NYSE,Electronics,TRQ,$4.99B,Suite 37,5367 Daystar Point,49-2125879,61715-063,NASDAQ,602528048-7,LB66 3961 HNTL ZEAR CJTI OSCZ 4TLG,,Peso,COP
94-830-0217,PIMCO Municipal Income Fund III,Blackrock Floating Rate Income Strategies Fund Inc,n/a,NYSE,Baby,PMX,$383.96M,Apt 252,58595 Goodland Avenue,82-0494576,60503-600,NYSE,595741890-0,LV30 LGJJ 3MXF DVFQ 0VQV B,,Shilling,SOS
33-877-5650,"Neos Therapeutics, Inc.","China Lodging Group, Limited",Health Care,NASDAQ,Health,NEOS,$195.15M,Room 46,320 Sutherland Trail,38-9642352,63121-123,NASDAQ,387150267-7,LI79 1811 4IGJ Y9HQ HB3G O,,Rupiah,IDR
22-233-3923,Mechel PAO,"Great Western Bancorp, Inc.",Basic Industries,NYSE,Shoes,MTL,$884.58M,Room 1113,9989 Memorial Park,52-4196605,0591-2157,NYSE,459723722-4,GB14 GYNY 1126 1819 3909 20,,Euro,EUR
60-375-3969,Astoria Financial Corporation,Andina Acquisition Corp. II,Finance,NYSE,Games,AF,$2.06B,11th Floor,939 Lawn Plaza,56-8973032,63304-499,NASDAQ,955475388-8,BR36 3474 9096 1808 9337 1602 829T U,,Real,BRL
98-707-4514,VelocityShares VIX Medium-Term ETN,Artisan Partners Asset Management Inc.,Finance,NASDAQ,Kids,VIIZ,$1.14M,PO Box 59380,4 Sachs Pass,41-3108663,41520-314,NYSE,337239961-7,LT17 1637 4563 8802 0871,,Zloty,PLN
94-377-2102,"Baldwin & Lyons, Inc.","The Hackett Group, Inc.",Finance,NASDAQ,Beauty,BWINB,$375.34M,Suite 63,37797 Burning Wood Plaza,24-8199233,58411-102,NASDAQ,368519077-6,FR73 4328 5686 19RR SEIX PYCL I47,,Tenge,KZT
21-922-5014,Eaton vance Floating-Rate Income Plus Fund,BlackRock Strategic Municipal Trust Inc. (The),n/a,NYSE,Grocery,EFF,$129.69M,Room 376,3026 Nelson Alley,40-3787116,60505-2597,NYSE,088784993-8,BG80 ELRK 5325 21SZ RMK0 DM,,Yuan Renminbi,CNY
37-131-8018,Masco Corporation,"Inspired Entertainment, Inc.",Basic Industries,NYSE,Jewelry,MAS,$12.32B,PO Box 55720,572 Crest Line Parkway,14-0646610,24909-161,NASDAQ,561760507-0,NL70 ECOS 0751 1157 24,,Yuan Renminbi,CNY
78-494-4583,Ares Capital Corporation,Arthur J. Gallagher & Co.,n/a,NYSE,Beauty,AFC,$206.36M,Suite 78,5 Lerdahl Plaza,12-5667654,42254-260,NYSE,674610355-2,FR71 7034 6707 547P PRNK YE3B U59,,Ringgit,MYR
65-295-0064,Morgan Stanley,Banco Santander Chile,n/a,NYSE,Grocery,MS^A,n/a,PO Box 248,49681 Rigney Hill,22-5686219,21695-250,NYSE,368065540-1,CZ58 2036 5414 7843 2279 7377,,Zloty,PLN
98-254-4489,"Edgewater Technology, Inc.",CRH PLC,Technology,NASDAQ,Books,EDGW,$94.21M,PO Box 74849,7 Pennsylvania Lane,59-2405063,61957-0402,NYSE,131451529-2,MC22 0311 4984 88PJ QIST OQOO E74,,Bolivar,VEF
26-115-2548,ChromaDex Corporation,Oi S.A.,Consumer Durables,NASDAQ,Outdoors,CDXC,$153.95M,Suite 13,1304 Schiller Crossing,26-2969983,0409-3505,NYSE,951704828-9,CY40 5385 4659 CZPD DWI4 HCVV GU6O,,Rupiah,IDR
07-811-0775,Apollo Senior Floating Rate Fund Inc.,First Trust Mid Cap Value AlphaDEX Fund,n/a,NYSE,Electronics,AFT,$265.68M,9th Floor,1 Novick Parkway,75-1420855,51386-600,NASDAQ,421368451-2,GE93 MD78 8279 1095 8663 39,,Rial,YER
92-862-7436,Hexcel Corporation,"Marchex, Inc.",Basic Industries,NYSE,Games,HXL,$4.68B,5th Floor,89 Summerview Junction,27-3249213,63323-494,NASDAQ,970625094-8,GE34 VK90 0539 7391 6627 42,,Baht,THB
68-822-7499,Eaton Vance NextShares Trust,"SunTrust Banks, Inc.",n/a,NASDAQ,Sports,EVSTC,n/a,Apt 526,8721 Porter Street,31-1938347,65597-112,NYSE,603068864-2,FR09 1920 5279 08LY MKGI 1III Y96,,Pound,GBP
65-464-2049,Research Frontiers Incorporated,"Wal-Mart Stores, Inc.",Miscellaneous,NASDAQ,Toys,REFR,$32.7M,Apt 599,0 Susan Street,10-8999707,68001-236,NYSE,393695308-2,FR23 9834 2199 84ZY QEJI ZRMH Q86,,Rial,YER
57-567-2331,AllianzGI Equity & Convertible Income Fund,Nuveen High Income November 2021 Target Term Fund,n/a,NYSE,Automotive,NIE,$543.65M,Suite 67,1765 Corben Crossing,16-5107722,0378-8880,NYSE,111135432-4,CH59 4774 4T9W OZ11 ACGB J,,Zloty,PLN
63-099-5128,Kraton Corporation,"Caleres, Inc.",Basic Industries,NYSE,Electronics,KRA,$979.78M,PO Box 53249,025 Mendota Trail,73-7889602,0363-6711,NYSE,480767955-4,MC83 8781 9763 02YW NFHY EABK K66,,Peso,PHP
31-477-7230,"Ultra Clean Holdings, Inc.","Apollo Global Management, LLC",Technology,NASDAQ,Toys,UCTT,$690.58M,PO Box 12271,30581 Scott Road,73-2528281,49967-359,NYSE,546288944-5,DK74 7463 1987 9991 54,,Peso,PHP
78-480-9948,"Entegris, Inc.",VictoryShares Dividend Accelerator ETF,Consumer Non-Durables,NASDAQ,Music,ENTG,$3.41B,Apt 318,96093 East Court,13-9089375,13537-419,NASDAQ,206817184-8,MC83 0589 7501 03CR DHPQ XE8E X76,,Euro,EUR
70-911-4046,"Town Sports International Holdings, Inc.",Texas Instruments Incorporated,Consumer Services,NASDAQ,Jewelry,CLUB,$104.11M,Apt 1008,4302 Hooker Pass,52-4562879,50552-001,NASDAQ,014566439-2,BR69 4586 7985 2711 7007 7288 650C M,,Real,BRL
45-315-9078,California Water  Service Group Holding,"Sunstone Hotel Investors, Inc.",Public Utilities,NYSE,Outdoors,CWT,$1.8B,Suite 20,338 Autumn Leaf Drive,51-2528019,52533-025,NYSE,017694560-1,BE28 7503 0299 7051,,Euro,EUR
99-719-9162,Calamos Dynamic Convertible & Income Fund,"Ruth's Hospitality Group, Inc.",n/a,NASDAQ,Music,CCD,$493.06M,Suite 93,5922 Everett Plaza,57-0630017,62032-128,NASDAQ,361199476-6,NO74 7213 1615 657,,Ruble,RUB
43-308-1509,"Sarepta Therapeutics, Inc.","Calavo Growers, Inc.",Health Care,NASDAQ,Kids,SRPT,$1.78B,PO Box 76520,679 Graceland Junction,35-5769418,49288-0100,NASDAQ,387902076-0,PT86 4642 3614 5986 4098 8599 0,,Yuan Renminbi,CNY
78-938-5762,Amira Nature Foods Ltd,iShares MSCI Europe Financials Sector Index Fund,Consumer Non-Durables,NYSE,Baby,ANFI,$141.43M,Room 866,30 Veith Center,99-3845206,52125-748,NASDAQ,369124359-2,FO96 0081 7183 0431 31,,Peso,PHP
63-539-1683,New Mountain Finance Corporation,"NV5 Global, Inc.",n/a,NYSE,Shoes,NMFC,$1.09B,Suite 45,087 Cordelia Road,66-6389453,60429-092,NASDAQ,237829230-9,ES10 5729 2538 0948 4522 9611,,Euro,EUR
42-177-1896,"Global Net Lease, Inc.","SeaWorld Entertainment, Inc.",Consumer Services,NYSE,Home,GNL,$1.51B,Room 1663,0 Lighthouse Bay Street,02-9157599,42893-020,NYSE,448264344-0,CY49 5046 0408 YHLZ BGFL WSPG FNVC,,Afghani,AFN
66-663-0000,Equity Commonwealth,"Savara, Inc.",n/a,NYSE,Tools,EQC^D,n/a,Apt 1830,8 Katie Way,51-1445884,0496-0760,NASDAQ,297732583-2,FR62 2231 5846 76VT 565Z UHMC E06,,Yuan Renminbi,CNY
64-674-7051,MYOS RENS Technology Inc.,Geospace Technologies Corporation,Health Care,NASDAQ,Health,MYOS,$11.98M,Apt 374,4832 Cardinal Center,99-5711031,60258-201,NASDAQ,498032169-0,MK73 7339 HGK6 KYFQ L53,,Euro,EUR
73-073-1490,Kewaunee Scientific Corporation,Sumitomo Mitsui Financial Group Inc,Capital Goods,NASDAQ,Outdoors,KEQU,$61.97M,PO Box 66315,9897 Mayer Lane,10-4765221,57520-1041,NYSE,675043679-X,CR09 4142 6527 5306 6247 0,,Yuan Renminbi,CNY
52-844-8474,Park Electrochemical Corporation,"Templeton Emerging Markets Income Fund, Inc.",Technology,NYSE,Health,PKE,$369.08M,PO Box 4697,7638 Village Green Parkway,93-8504704,0603-3582,NYSE,015463856-0,MK51 206R PMFM LQCT F08,,Rial,IRR
73-390-7256,Gramercy Property Trust Inc.,"TPG Specialty Lending, Inc.",n/a,NYSE,Electronics,GPT^A,n/a,16th Floor,21977 Lunder Center,39-1258238,53808-0631,NYSE,845787955-3,AL13 9649 1530 CAIR WUD9 MIX2 AUNZ,,Baht,THB
88-028-8667,Capstead Mortgage Corporation,Deutsche Bank AG,Consumer Services,NYSE,Toys,CMO,$1.06B,Room 715,40090 Division Place,71-9165571,41520-809,NYSE,822287501-9,HU23 9410 8525 7917 6064 9863 6431,,Yuan Renminbi,CNY
43-252-4321,"KCAP Financial, Inc.",Vornado Realty Trust,n/a,NASDAQ,Kids,KCAP,$128.8M,Suite 6,76721 Bonner Point,80-9264120,76237-178,NYSE,257018114-5,IL69 7357 0205 4083 3582 789,,Yuan Renminbi,CNY
32-369-3518,AGNC Investment Corp.,"Raymond James Financial, Inc.",Consumer Services,NASDAQ,Books,AGNCB,$9.12B,Suite 60,32 Ronald Regan Court,94-1339162,0591-2159,NYSE,002437567-5,FR75 5586 9176 06NC C5TX PBTZ I13,,Dollar,CAD
18-640-2757,Navistar International Corporation,"Old Line Bancshares, Inc.",Capital Goods,NYSE,Shoes,NAV^D,n/a,Suite 30,2025 Birchwood Drive,81-3077566,59779-179,NASDAQ,381116596-8,BR97 3823 9326 8608 4752 5864 376B I,,Rupiah,IDR
53-987-5092,"Terra Nitrogen Company, L.P.",Park Hotels & Resorts Inc.,Basic Industries,NYSE,Sports,TNH,$1.59B,Suite 63,1 South Trail,31-2890770,68151-0703,NYSE,534023786-9,LV51 OFXF 0BMN EOTS DHA7 9,,Rupiah,IDR
80-204-9791,Tenet Healthcare Corporation,First Trust Senior Loan Fund ETF,Health Care,NYSE,Computers,THC,$1.83B,7th Floor,19 Redwing Way,10-6450961,36987-1279,NASDAQ,056848366-9,MR17 5083 7903 4756 0893 1842 249,,Ruble,RUB
41-430-4169,Flowserve Corporation,"ARCA biopharma, Inc.",Capital Goods,NYSE,Music,FLS,$6.2B,9th Floor,0186 Rigney Way,53-4170704,98132-704,NASDAQ,013594574-7,PK17 PGME I6OT PJWV M494 KXYH,,Euro,EUR
28-036-0783,"Rogers Communication, Inc.",Hess Corporation,Consumer Services,NYSE,Baby,RCI,$18.93B,Suite 72,9 Fordem Junction,94-8565754,43742-0219,NYSE,382851824-9,SE07 2434 6778 4523 6780 0073,,Dinar,TND
60-957-9058,"Old Second Bancorp, Inc.",Cognizant Technology Solutions Corporation,Finance,NASDAQ,Clothing,OSBCP,n/a,Suite 80,5 Mccormick Drive,72-9656823,0832-1214,NASDAQ,935125092-X,SK12 8254 3468 4064 0263 9664,,Yuan Renminbi,CNY
67-501-0379,Daily Journal Corp. (S.C.),Blackrock Global,Consumer Services,NASDAQ,Outdoors,DJCO,$295.19M,19th Floor,72 Packers Trail,87-5950578,35356-317,NYSE,714441780-0,LB39 0039 H6YV QZPW MQEY HBQY 7JFQ,,Peso,PHP
57-991-2600,"Shell Midstream Partners, L.P.",Blackrock California Municipal 2018 Term Trust,Energy,NYSE,Shoes,SHLX,$5.1B,PO Box 64821,84901 Thompson Court,30-4310693,61941-0101,NYSE,811793508-2,GI76 OFAJ DI8D OWPU 52RM BVA,,Sol,PEN
28-804-6910,"John B. Sanfilippo & Son, Inc.",Gabelli Dividend,Consumer Non-Durables,NASDAQ,Health,JBSS,$696.39M,PO Box 14686,4112 Bluejay Lane,14-8360577,10685-511,NYSE,906660203-1,FR24 6051 3001 88VV VUQR WOLU V24,,Yuan Renminbi,CNY
29-618-8808,General Finance Corporation,Charles & Colvard Ltd,Technology,NASDAQ,Games,GFN,$125.85M,Suite 59,128 Park Meadow Avenue,47-2294539,50438-807,NASDAQ,463687947-3,LV76 LQCD Z4QT KZ64 53XZ O,,Rupiah,IDR
69-017-8862,Nuveen Multi-Market Income Fund,"Presidio, Inc.",n/a,NYSE,Jewelry,JMM,$71.11M,1st Floor,22568 Northwestern Place,97-6059773,0135-0096,NASDAQ,147695693-6,ME96 1511 0676 2696 0537 69,,Ruble,RUB
82-298-4193,Almost Family Inc,"Boston Private Financial Holdings, Inc.",Health Care,NASDAQ,Movies,AFAM,$844.04M,18th Floor,35 Gulseth Lane,27-9418663,61477-209,NASDAQ,440374534-2,KW39 WKBQ WZQY HDCY BUOX G2H9 RDIO CP,,Dollar,USD
32-832-1497,"Ocean Bio-Chem, Inc.","Akoustis Technologies, Inc.",Consumer Durables,NASDAQ,Jewelry,OBCI,$37.26M,1st Floor,60960 2nd Lane,74-6063833,0517-2315,NASDAQ,905820036-1,SK50 4755 5948 0902 5420 3070,,Ringgit,MYR
27-336-5736,First Trust Nasdaq Pharmaceuticals ETF,Genpact Limited,n/a,NASDAQ,Computers,FTXH,$2.01M,14th Floor,85991 Hudson Way,61-9214487,0363-0982,NYSE,131560747-6,IL33 3124 0093 9568 8506 479,,Real,BRL
64-360-4811,Equity Commonwealth,Sterling Bancorp,Consumer Services,NYSE,Jewelry,EQC,$3.93B,Apt 472,5268 Charing Cross Trail,47-4332561,68196-306,NYSE,630965486-1,FI41 3255 5645 9282 84,,Dollar,AUD
79-583-8657,"India Fund, Inc. (The)",EnPro Industries,n/a,NYSE,Kids,IFN,$774.33M,PO Box 12204,51 South Hill,67-9128087,68788-0999,NYSE,382980960-3,CR86 9022 8971 3368 0665 2,,Lek,ALL
97-120-1968,Davis Select U.S. Equity ETF,"Alon USA Partners, LP",n/a,NASDAQ,Books,DUSA,n/a,Room 776,86 Fieldstone Drive,46-9528536,30727-339,NYSE,024330996-1,PL67 2391 2132 7622 3762 1109 1450,,Koruna,CZK
09-859-9776,Alliance World Dollar Government Fund II,Quotient Technology Inc.,n/a,NYSE,Automotive,AWF,$1.11B,Room 1650,3 Mccormick Drive,87-9461479,0456-2101,NYSE,569020036-0,MC05 5337 1355 98SR 9QVV ZKYM R30,,Dollar,CAD
12-810-6528,"Vmware, Inc.",Nuveen Multi-Market Income Fund,Technology,NYSE,Books,VMW,$35.98B,Apt 1214,2 Oneill Trail,38-6738597,60429-308,NYSE,457042781-2,MC70 7155 9308 10RN OV9E YJQY X82,,Pound,GBP
14-282-3082,General Finance Corporation,"Immunomedics, Inc.",Technology,NASDAQ,Baby,GFNCP,n/a,Suite 3,07 Sommers Junction,42-4572618,53185-002,NASDAQ,640607311-8,BA90 6480 1873 8482 4394,,Kwacha,MWK
55-020-9388,Saban Capital Acquisition Corp.,MGE Energy Inc.,Finance,NASDAQ,Grocery,SCACW,n/a,Room 432,5251 Schiller Place,36-0620027,55154-3384,NASDAQ,029044881-6,BA18 4678 9206 9766 2227,,Yuan Renminbi,CNY
04-193-4884,"Clean Harbors, Inc.","Beasley Broadcast Group, Inc.",Basic Industries,NYSE,Industrial,CLH,$3.24B,Apt 53,572 Continental Terrace,83-4684678,57627-158,NASDAQ,128761773-5,KZ92 605A JVTV ARPQ 7SJO,,Rupiah,IDR
22-262-1445,"NRG Yield, Inc.","BankUnited, Inc.",Public Utilities,NYSE,Jewelry,NYLD,$3.22B,Room 1301,623 Washington Park,11-5921454,16590-010,NYSE,484253714-0,MU70 TDIA 8377 3160 8044 7531 464W PP,,Rupiah,IDR
45-771-5716,"Bazaarvoice, Inc.","ARI Network Services, Inc.",Technology,NASDAQ,Electronics,BV,$397.33M,Room 1787,9 Jenifer Lane,79-3911686,54799-897,NASDAQ,698637082-2,FI82 4369 3239 3268 22,,Rupee,PKR
36-240-1292,"Century Casinos, Inc.",ON Semiconductor Corporation,Consumer Services,NASDAQ,Industrial,CNTY,$185.42M,Suite 13,51722 Lindbergh Point,40-6285009,41163-416,NASDAQ,066871102-7,BR84 2837 3874 9746 5384 8388 571B 9,,Euro,EUR
66-580-5102,"Dynex Capital, Inc.",Semgroup Corporation,n/a,NYSE,Jewelry,DX^A,n/a,PO Box 7723,8318 Reinke Circle,10-7756318,57344-081,NYSE,268190914-7,HU53 7714 1570 6075 2205 3863 3028,,Rupiah,IDR
19-826-8115,"NextEra Energy, Inc.","Entergy Louisiana, Inc.",n/a,NYSE,Home,NEE^J,n/a,Apt 1003,4 Calypso Junction,86-9921514,76282-323,NYSE,076921663-3,BA43 8091 4951 2029 8929,,Peso,PHP
81-329-0747,BRT Apartments Corp.,Ashland Global Holdings Inc.,Consumer Services,NYSE,Home,BRT,$109.52M,PO Box 78911,382 Bartillon Junction,69-8946016,42507-373,NYSE,181199059-2,PS51 RISR ACA8 FQZR PC5D AQOU J8HO Q,,Rupiah,IDR
83-679-6707,ResMed Inc.,BlackRock Resources,Health Care,NYSE,Kids,RMD,$10.93B,Suite 40,7831 Thackeray Park,03-6398671,43742-0181,NYSE,325138033-8,LI26 2946 541L YIZG 9Z4F R,,Euro,EUR
30-108-5550,Tennessee Valley Authority,"National CineMedia, Inc.",Public Utilities,NYSE,Games,TVE,n/a,Room 1783,658 Westend Lane,76-7409604,56062-908,NASDAQ,645315654-7,FR89 8061 1368 27G0 MAJW MG7Z C59,,Dollar,USD
53-311-1337,Pacific Special Acquisition Corp.,CMS Energy Corporation,Finance,NASDAQ,Baby,PAACU,n/a,Suite 41,6504 Thompson Hill,78-0551859,53645-1141,NYSE,167078514-9,TN98 4878 7897 8434 2421 1241,,Yuan Renminbi,CNY
