,Cluster ID,Link Score,source file,FTSE Code,Stock Name,Company Name,Stock Industry,Stock Market,Stock Sector,Stock Symbol,Stock Market Cap,Address 1,Address 2,client_id,broker_id,exchange_name,ISIN,TICKER,SEDOL,Currency,Currency Code
561,5.0,0.9021447,0,10-857-9265,Universal Display Corporation,Universal Display Corporation,Capital Goods,NASDAQ,Garden,OLED,$5.5B,Suite 78,1096 Brentwood Court,43-1281580,NASDAQ,,,68196-803,,Zloty,PLN
5681,5.0,0.9021447,1,10-857-9265,Universal Display Corporation,Universal Display Corporation,Capital Goods,NASDAQ,Garden,OLED,$5.5B,Suite 78,1096 Brentwood Court,43-1281580,,NASDAQ,592390895-6,FR89 5296 3549 24UG ZNBJ LXJC N31,68196-803,Zloty,PLN
522,6.0,0.9021447,0,10-231-6233,Vanda Pharmaceuticals Inc.,Vanda Pharmaceuticals Inc.,Health Care,NASDAQ,Movies,VNDA,$612.59M,Room 1089,5 Hudson Point,50-6472591,NASDAQ,,SK46 7749 7121 8553 9354 3693,63323-617,,Sol,PEN
5651,6.0,0.9021447,1,10-231-6233,Vanda Pharmaceuticals Inc.,Vanda Pharmaceuticals Inc.,Health Care,NASDAQ,Movies,VNDA,$612.59M,Room 1089,5 Hudson Point,50-6472591,,NASDAQ,265400050-8,SK46 7749 7121 8553 9354 3693,63323-617,Sol,PEN
5052,7.0,0.9021447,0,99-022-7513,"USLIFE Income Fund, Inc.","USLIFE Income Fund, Inc.",,NYSE,Sports,BIF,$1.02B,,,40-1349423,NASDAQ,393400364-8,ME30 0548 0816 3526 4237 92,68151-2476,,Yuan Renminbi,CNY
10054,7.0,0.9021447,1,99-022-7513,"USLIFE Income Fund, Inc.","USLIFE Income Fund, Inc.",,NYSE,Sports,BIF,$1.02B,Apt 40,84471 Dwight Crossing,40-1349423,,NASDAQ,393400364-8,ME30 0548 0816 3526 4237 92,68151-2476,Yuan Renminbi,CNY
5020,8.0,0.9021447,0,98-506-3063,"Beasley Broadcast Group, Inc.","Beasley Broadcast Group, Inc.",Consumer Services,NASDAQ,Sports,BBGI,,Suite 65,1 7th Hill,80-9665979,NASDAQ,004815941-7,LB72 8938 V0NO 5OX5 9132 2IDO FRBW,68786-160,,Yuan Renminbi,CNY
10024,8.0,0.9021447,1,98-506-3063,"Beasley Broadcast Group, Inc.","Beasley Broadcast Group, Inc.",Consumer Services,NASDAQ,Sports,BBGI,$315.76M,Suite 65,1 7th Hill,80-9665979,,NASDAQ,004815941-7,LB72 8938 V0NO 5OX5 9132 2IDO FRBW,68786-160,Yuan Renminbi,CNY
10016,9.0,0.9021447,1,98-351-8740,First Trust Dynamic Europe Equity Income Fund,First Trust Dynamic Europe Equity Income Fund,,NYSE,Outdoors,FDEU,$332.06M,Suite 11,01 Union Parkway,61-5251270,,NYSE,251569637-6,GR49 3330 009H SX6T H3LG OMDG QGE,24236-493,Peso,PHP
5012,9.0,0.9021447,0,98-346-3557,First Trust Dynamic Europe Equity Income Fund,First Trust Dynamic Europe Equity Income Fund,,NYSE,Books,FDEU,$332.06M,Apt 167,2 Burning Wood Parkway,59-6616601,NASDAQ,287650939-3,FR81 3325 4843 80QE WDPD HKMA J58,,,Dram,AMD
5004,10.0,0.9021447,0,98-225-0552,On Track Innovations Ltd,On Track Innovations Ltd,Technology,NASDAQ,Games,OTIV,$51.37M,Apt 887,037 Dixon Drive,,NASDAQ,535082974-2,IS22 9535 1713 6682 1329 9622 89,49288-0366,,Peso,PHP
10006,10.0,0.9021447,1,98-225-0552,On Track Innovations Ltd,On Track Innovations Ltd,Technology,NASDAQ,Games,OTIV,$51.37M,Apt 887,037 Dixon Drive,43-9170203,,NASDAQ,535082974-2,IS22 9535 1713 6682 1329 9622 89,49288-0366,Peso,PHP
494,11.0,0.9021447,0,09-650-4860,Companhia Brasileira de Distribuicao,Companhia Brasileira de Distribuicao,Consumer Services,NYSE,Health,CBD,$5.41B,PO Box 47961,05526 Scoville Way,97-8630142,NYSE,414977881-7,RO26 WKQD JPWN JM2S IFAL DH1V,,,Peso,COP
5611,11.0,0.9021447,1,09-650-4860,Companhia Brasileira de Distribuicao,Companhia Brasileira de Distribuicao,Consumer Services,NYSE,Health,CBD,$5.41B,PO Box 47961,05526 Scoville Way,97-8630142,,NYSE,414977881-7,RO26 WKQD JPWN JM2S IFAL DH1V,49288-0870,Peso,COP
4844,12.0,0.9021447,0,95-595-7729,Putnam Managed Municipal Income Trust,Putnam Managed Municipal Income Trust,,NYSE,Outdoors,PMM,$406.45M,Apt 479,6977 Stuart Circle,,,068700018-1,SE41 9235 9760 1584 4685 6877,49643-442,,Peso,COP
9867,12.0,0.9021447,1,95-595-7729,Putnam Managed Municipal Income Trust,Putnam Managed Municipal Income Trust,,NYSE,Outdoors,PMM,$406.45M,Apt 479,6977 Stuart Circle,66-1862121,,NYSE,068700018-1,SE41 9235 9760 1584 4685 6877,49643-442,Peso,COP
4841,13.0,0.9021447,0,95-544-1412,China Rapid Finance Limited,China Rapid Finance Limited,Finance,NYSE,Health,XRF,$441.95M,13th Floor,6 Fuller Lane,35-4488776,NASDAQ,633143133-0,,0548-5604,,Ruble,RUB
9861,13.0,0.9021447,1,95-544-1412,China Rapid Finance Limited,China Rapid Finance Limited,Finance,NYSE,Health,XRF,$441.95M,13th Floor,6 Fuller Lane,35-4488776,,NASDAQ,633143133-0,IT24 U364 8193 236W G1H6 XO8E 9IL,0548-5604,Ruble,RUB
4800,14.0,0.9021447,0,94-690-2609,Capital Bank Financial Corp.,Capital Bank Financial Corp.,Finance,NASDAQ,Sports,CBF,$1.99B,Room 1596,239 Donald Street,,,215449984-8,FR30 1003 5525 71HR WD7Q P2BQ K60,59995-005,,Real,BRL
9825,14.0,0.9021447,1,94-690-2609,Capital Bank Financial Corp.,Capital Bank Financial Corp.,Finance,NASDAQ,Sports,CBF,$1.99B,Room 1596,239 Donald Street,61-6708456,,NASDAQ,215449984-8,FR30 1003 5525 71HR WD7Q P2BQ K60,59995-005,Real,BRL
9801,15.0,0.9021447,1,94-385-6395,FutureFuel Corp.,FutureFuel Corp.,Basic Industries,NYSE,Music,FF,$644.87M,Room 1336,59 Brown Alley,38-9513065,,NASDAQ,698049957-2,RO26 NBFR ETKO XIHX SKEL AVWL,54569-1746,Yuan Renminbi,CNY
4785,15.0,0.9021447,0,94-385-6395,FutureFuel Corp.,FutureFuel Corp.,Basic Industries,NYSE,Music,FF,$644.87M,Room 1336,59 Brown Alley,,,,,,,,
4699,16.0,0.9021447,0,93-061-7894,Lindblad Expeditions Holdings Inc. ,Lindblad Expeditions Holdings Inc. ,Consumer Services,NASDAQ,Baby,LIND,$434.29M,20th Floor,8641 Superior Pass,11-7310441,NASDAQ,068027067-1,AL82 0400 1606 1SZC K2UG UQTP KT8N,76461-024,,Rupiah,IDR
9738,16.0,0.9021447,1,93-061-7894,Lindblad Expeditions Holdings Inc. ,Lindblad Expeditions Holdings Inc. ,Consumer Services,NASDAQ,Baby,LIND,$434.29M,20th Floor,8641 Superior Pass,,,,068027067-1,,,Rupiah,IDR
469,17.0,0.9021447,0,09-169-5639,"XO Group, Inc.","XO Group, Inc.",Consumer Services,NYSE,Beauty,XOXO,$431.87M,PO Box 84241,,21-4268793,NASDAQ,160475457-5,BA67 7412 0752 5721 6831,16590-003,,Colon,CRC
5586,17.0,0.9021447,1,09-169-5639,"XO Group, Inc.","XO Group, Inc.",Consumer Services,NYSE,Beauty,XOXO,$431.87M,PO Box 84241,02 Coleman Parkway,21-4268793,,NASDAQ,160475457-5,BA67 7412 0752 5721 6831,16590-003,Colon,CRC
9703,18.0,0.9021447,1,92-289-0091,"McDermott International, Inc.","McDermott International, Inc.",Capital Goods,NYSE,Electronics,MDR,$1.78B,Room 65,4 Carpenter Hill,12-0160526,,NYSE,153755379-8,DO85 VACX 8147 2190 4199 6855 2729,21130-069,Naira,NGN
4660,18.0,0.9021447,0,92-289-0091,"McDermott International, Inc.","McDermott International, Inc.",Capital Goods,NYSE,Electronics,MDR,$1.78B,Room 65,4 Carpenter Hill,,,,,,,,
9690,19.0,0.9021447,1,91-982-1110,Gulfport Energy Corporation,Gulfport Energy Corporation,Energy,NASDAQ,Beauty,GPOR,$2.38B,Room 1574,3 Summerview Plaza,63-1036623,,NYSE,939028072-9,FR66 2546 2445 96X4 U09O DVCO 969,60512-6476,Shekel,ILS
4642,19.0,0.9021447,0,91-982-1110,Gulfport Energy Corporation,Gulfport Energy Corporation,Energy,NASDAQ,Beauty,GPOR,$2.38B,Room 1574,3 Summerview Plaza,,,,,,,,
4573,20.0,0.9021447,0,90-565-3962,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",Consumer Services,NYSE,Industrial,ESRT,$6.7B,19th Floor,31 Forest Run Drive,35-7137928,NYSE,126394833-2,HU43 1046 0160 2153 9996 2176 1046,60505-3621,,Yen,JPY
9622,20.0,0.9021447,1,90-565-3962,"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",Consumer Services,NYSE,Industrial,ESRT,$6.7B,19th Floor,31 Forest Run Drive,,,,126394833-2,HU43 1046 0160 2153 9996 2176 1046,60505-3621,Yen,JPY
4532,21.0,0.9021447,0,89-696-5509,Immune Design Corp.,Immune Design Corp.,Health Care,NASDAQ,Home,IMDZ,$184.11M,Suite 1,28 Birchwood Terrace,96-2328128,NYSE,169478714-1,,36987-2259,,Real,BRL
9571,21.0,0.9021447,1,89-696-5509,Immune Design Corp.,Immune Design Corp.,Health Care,NASDAQ,Home,IMDZ,$184.11M,Suite 1,28 Birchwood Terrace,96-2328128,,NYSE,169478714-1,BE19 2180 9585 2013,36987-2259,Real,BRL
4527,22.0,0.9021447,0,89-642-1991,Banco Bilbao Viscaya Argentaria S.A.,Banco Bilbao Viscaya Argentaria S.A.,Finance,NYSE,Games,BBVA,$53.98B,12th Floor,58 Holmberg Center,75-6600361,NASDAQ,850649987-9,CY79 6677 2343 P6CV QQZA BZXW TYWS,,,Real,BRL
9569,22.0,0.9021447,1,89-642-1991,Banco Bilbao Viscaya Argentaria S.A.,Banco Bilbao Viscaya Argentaria S.A.,Finance,NYSE,Games,BBVA,$53.98B,12th Floor,58 Holmberg Center,75-6600361,,NASDAQ,850649987-9,CY79 6677 2343 P6CV QQZA BZXW TYWS,51442-544,Real,BRL
4495,23.0,0.9021447,0,89-200-8008,"Source Capital, Inc.","Source Capital, Inc.",,NYSE,Computers,SOR,$332.05M,18th Floor,,83-0938345,NASDAQ,476653929-X,RO38 CTIG C36T 4J7H ZQDI W8AX,43353-888,,Sol,PEN
9539,23.0,0.9021447,1,89-200-8008,"Source Capital, Inc.","Source Capital, Inc.",,NYSE,Computers,SOR,$332.05M,18th Floor,15695 Village Junction,83-0938345,,NASDAQ,476653929-X,RO38 CTIG C36T 4J7H ZQDI W8AX,43353-888,Sol,PEN
4466,24.0,0.9021447,0,88-653-7095,"Insignia Systems, Inc.","Insignia Systems, Inc.",Consumer Services,NASDAQ,Jewelry,ISIG,$11.89M,Apt 1953,3884 Manufacturers Way,,NASDAQ,657283072-1,FR27 8815 4849 38GA KFTL YUR6 J77,59091-1001,,Sol,PEN
9517,24.0,0.9021447,1,88-653-7095,"Insignia Systems, Inc.","Insignia Systems, Inc.",Consumer Services,NASDAQ,Jewelry,ISIG,$11.89M,Apt 1953,3884 Manufacturers Way,33-9867607,,NASDAQ,657283072-1,FR27 8815 4849 38GA KFTL YUR6 J77,59091-1001,Sol,PEN
4433,25.0,0.9021447,0,88-056-6873,"Inovio Pharmaceuticals, Inc.","Inovio Pharmaceuticals, Inc.",Health Care,NASDAQ,Home,INO,$585.08M,Suite 79,53 Algoma Junction,57-1318169,NYSE,784909378-X,BH40 FCFV FKUU VS2D EA1U LS,42627-203,,Euro,EUR
9486,25.0,0.9021447,1,88-056-6873,"Inovio Pharmaceuticals, Inc.","Inovio Pharmaceuticals, Inc.",Health Care,NASDAQ,Home,INO,$585.08M,,,57-1318169,,NYSE,784909378-X,BH40 FCFV FKUU VS2D EA1U LS,42627-203,Euro,EUR
443,26.0,0.9021447,0,08-455-9738,First Trust NASDAQ-100 Equal Weighted Index Fund,First Trust NASDAQ-100 Equal Weighted Index Fund,,NASDAQ,Baby,QQEW,$556.3M,19th Floor,975 Kinsman Avenue,20-4496902,NYSE,738600325-0,IS97 0756 3926 5570 7808 5745 97,55648-973,,Yuan Renminbi,CNY
5533,26.0,0.9021447,1,08-455-9738,First Trust NASDAQ-100 Equal Weighted Index Fund,First Trust NASDAQ-100 Equal Weighted Index Fund,,NASDAQ,Baby,QQEW,$556.3M,19th Floor,975 Kinsman Avenue,20-4496902,,NYSE,,,,Yuan Renminbi,CNY
4424,27.0,0.9021447,0,87-905-9112,Hilltop Holdings Inc.,Hilltop Holdings Inc.,Finance,NYSE,Sports,HTH,$2.6B,Apt 1051,0773 Kings Center,98-7996540,NASDAQ,169023850-X,,52815-124,,Yuan Renminbi,CNY
9481,27.0,0.9021447,1,87-905-9112,Hilltop Holdings Inc.,Hilltop Holdings Inc.,Finance,NYSE,Sports,HTH,$2.6B,Apt 1051,0773 Kings Center,98-7996540,,NASDAQ,169023850-X,HR76 1477 9195 6990 1403 6,52815-124,Yuan Renminbi,CNY
4340,28.0,0.9021447,0,86-222-2275,The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company,Consumer Durables,NASDAQ,Sports,GT,$8.44B,8th Floor,21042 Ridgeway Terrace,65-8769629,NYSE,127839700-0,BH22 TVND NWLI Q1RL SB9A 53,,,Peso,PHP
9408,28.0,0.9021447,1,86-222-2275,The Goodyear Tire & Rubber Company,The Goodyear Tire & Rubber Company,Consumer Durables,NASDAQ,Sports,GT,$8.44B,8th Floor,21042 Ridgeway Terrace,65-8769629,,NYSE,127839700-0,BH22 TVND NWLI Q1RL SB9A 53,55111-533,Peso,PHP
4339,29.0,0.9021447,0,86-211-1709,DNB Financial Corp,DNB Financial Corp,Finance,NASDAQ,Clothing,DNBF,$147.96M,Room 72,3 Menomonie Street,23-2112278,NASDAQ,785459861-4,CY94 1652 7980 3EEN JB0P E4NX RPE8,63323-145,,Quetzal,GTQ
9407,29.0,0.9021447,1,86-211-1709,DNB Financial Corp,DNB Financial Corp,Finance,NASDAQ,Clothing,DNBF,$147.96M,,,23-2112278,,NASDAQ,785459861-4,CY94 1652 7980 3EEN JB0P E4NX RPE8,63323-145,Quetzal,GTQ
9386,30.0,0.9021447,1,85-827-2704,Axis Capital Holdings Limited,Axis Capital Holdings Limited,Finance,NYSE,Electronics,AXS,$5.53B,PO Box 9493,23157 Ridge Oak Plaza,12-4830642,,NASDAQ,912109794-1,MR78 3222 9342 3827 7625 3425 831,41190-822,Euro,EUR
4311,30.0,0.9021447,0,85-682-9475,Axis Capital Holdings Limited,Axis Capital Holdings Limited,,NYSE,Computers,AXS^E,,Apt 1653,66 Transport Place,43-4250226,NYSE,034510001-8,IL80 4036 1751 5134 2177 208,52125-704,,,
4159,31.0,0.9021447,0,82-358-9114,LivaNova PLC,LivaNova PLC,Health Care,NASDAQ,Automotive,LIVN,$2.97B,Apt 769,29 Hoepker Junction,,NASDAQ,072915720-2,BA07 4096 5549 7205 3725,55714-2350,,Rupiah,IDR
9203,31.0,0.9021447,1,82-358-9114,LivaNova PLC,LivaNova PLC,Health Care,NASDAQ,Automotive,LIVN,$2.97B,Apt 769,29 Hoepker Junction,57-0377881,,NASDAQ,072915720-2,BA07 4096 5549 7205 3725,55714-2350,Rupiah,IDR
9158,32.0,0.9021447,1,81-235-9568,Manulife Financial Corp,Manulife Financial Corp,Finance,NYSE,Sports,MFC,$36.08B,6th Floor,51253 Dixon Pass,12-6765734,,NYSE,432218993-8,FR89 1538 2619 11NN 4XMB BRFC P70,65162-768,Leu,MDL
4099,32.0,0.9021447,0,81-235-9568,Manulife Financial Corp,Manulife Financial Corp,Finance,NYSE,Sports,MFC,$36.08B,6th Floor,51253 Dixon Pass,12-6765734,NYSE,432218993-8,FR89 1538 2619 11NN 4XMB BRFC P70,65162-768,,,
4097,33.0,0.9021447,0,81-222-3183,8x8 Inc,8x8 Inc,Public Utilities,NASDAQ,Electronics,EGHT,$1.35B,Apt 207,19 John Wall Street,,,625700139-0,ES11 7004 0727 8287 2087 9791,61601-1183,,Tugrik,MNT
9156,33.0,0.9021447,1,81-222-3183,8x8 Inc,8x8 Inc,Public Utilities,NASDAQ,Electronics,EGHT,$1.35B,Apt 207,19 John Wall Street,69-9475960,,NYSE,625700139-0,ES11 7004 0727 8287 2087 9791,61601-1183,Tugrik,MNT
4050,34.0,0.9021447,0,80-222-7286,Resource Capital Corp.,Resource Capital Corp.,Consumer Services,NYSE,Shoes,RSO,$316.71M,Suite 7,1281 Hoffman Way,,NYSE,256763701-X,PT51 4752 5228 5828 0767 9402 3,50268-696,,Yuan Renminbi,CNY
9102,34.0,0.9021447,1,80-222-7286,Resource Capital Corp.,Resource Capital Corp.,Consumer Services,NYSE,Shoes,RSO,$316.71M,Suite 7,1281 Hoffman Way,61-8371764,,NYSE,256763701-X,PT51 4752 5228 5828 0767 9402 3,50268-696,Yuan Renminbi,CNY
4037,35.0,0.9021447,0,79-950-2301,"Zimmer Biomet Holdings, Inc.","Zimmer Biomet Holdings, Inc.",Health Care,NYSE,Garden,ZBH,$25.39B,Room 1543,60894 Pepper Wood Center,,NYSE,639685129-6,BH60 GSCL TSWX DMZH VI6R WY,13537-025,,Rupiah,IDR
9086,35.0,0.9021447,1,79-950-2301,"Zimmer Biomet Holdings, Inc.","Zimmer Biomet Holdings, Inc.",Health Care,NYSE,Garden,ZBH,$25.39B,Room 1543,60894 Pepper Wood Center,91-9979327,,NYSE,639685129-6,BH60 GSCL TSWX DMZH VI6R WY,13537-025,Rupiah,IDR
396,36.0,0.9021447,0,07-699-6998,Immune Pharmaceuticals Inc.,Immune Pharmaceuticals Inc.,Health Care,NASDAQ,Games,IMNP          ,$24.77M,Suite 83,46 Stephen Hill,,NASDAQ,485219217-0,VG43 UOQK 8429 9324 6349 8744,0113-0402,,Pound,SYP
5486,36.0,0.9021447,1,07-699-6998,Immune Pharmaceuticals Inc.,Immune Pharmaceuticals Inc.,Health Care,NASDAQ,Games,IMNP          ,$24.77M,Suite 83,46 Stephen Hill,46-8714083,,NASDAQ,485219217-0,VG43 UOQK 8429 9324 6349 8744,0113-0402,Pound,SYP
3937,37.0,0.9021447,0,77-942-8863,Northern Trust Corporation,Northern Trust Corporation,Finance,NASDAQ,Books,NTRSP,$434.24M,Suite 61,60 Shopko Terrace,59-2187240,NYSE,,,17478-291,,Euro,EUR
8981,37.0,0.9021447,1,77-942-8863,Northern Trust Corporation,Northern Trust Corporation,Finance,NASDAQ,Books,NTRSP,$434.24M,Suite 61,60 Shopko Terrace,59-2187240,,NYSE,138075594-8,MU96 YTUO 5891 2035 5047 1949 142G ZO,17478-291,Euro,EUR
5753,38.0,0.9021447,1,12-333-4779,Ashford Hospitality Trust Inc,Ashford Hospitality Trust Inc,Consumer Services,NYSE,Games,AHT,$628.48M,Room 813,5 Annamark Point,73-1925761,,NYSE,621666360-7,MC18 9469 2857 39JV I0EG KHND N44,51143-545,Peso,CUP
3928,38.0,0.9021447,0,77-797-5286,Ashford Hospitality Trust Inc,Ashford Hospitality Trust Inc,,NYSE,Shoes,AHT^A,,18th Floor,31196 Coleman Plaza,89-2232746,NYSE,842113634-8,PS65 ZUZZ QMXZ J7HU METM G3QI EJTY P,57237-026,,,
3863,39.0,0.9021447,0,76-650-3374,Yingli Green Energy Holding Company Limited,Yingli Green Energy Holding Company Limited,Technology,NYSE,Kids,YGE,$36.17M,Room 379,,71-9477850,NASDAQ,910574188-2,FR53 9669 1181 36AJ BONQ HJXJ H93,36987-1536,,Rupiah,IDR
8917,39.0,0.9021447,1,76-650-3374,Yingli Green Energy Holding Company Limited,Yingli Green Energy Holding Company Limited,Technology,NYSE,Kids,YGE,$36.17M,Room 379,296 Fair Oaks Street,71-9477850,,NASDAQ,910574188-2,FR53 9669 1181 36AJ BONQ HJXJ H93,36987-1536,Rupiah,IDR
3755,40.0,0.9021447,0,74-355-2190,"root9B Holdings, Inc. ","root9B Holdings, Inc. ",Consumer Services,NASDAQ,Grocery,RTNB,$40.93M,Apt 1749,9626 Lakeland Plaza,99-1968527,NYSE,820112696-3,PL80 8886 0786 5794 8600 5787 6802,41520-098,,Peso,PHP
8812,40.0,0.9021447,1,74-355-2190,"root9B Holdings, Inc. ","root9B Holdings, Inc. ",Consumer Services,NASDAQ,Grocery,RTNB,$40.93M,,,99-1968527,,NYSE,820112696-3,PL80 8886 0786 5794 8600 5787 6802,41520-098,Peso,PHP
3746,41.0,0.9021447,0,74-201-0840,"Duff & Phelps Utilities Income, Inc.","Duff & Phelps Utilities Income, Inc.",,NYSE,Sports,DNP,$3.17B,,,91-5175962,NASDAQ,967364747-X,KZ87 313C GEV8 BCG1 GLS0,0228-2848,,Yuan Renminbi,CNY
8803,41.0,0.9021447,1,74-201-0840,"Duff & Phelps Utilities Income, Inc.","Duff & Phelps Utilities Income, Inc.",,NYSE,Sports,DNP,$3.17B,Room 7,97816 Memorial Parkway,91-5175962,,NASDAQ,967364747-X,KZ87 313C GEV8 BCG1 GLS0,0228-2848,Yuan Renminbi,CNY
3721,42.0,0.9021447,0,73-755-3077,FlexShares Credit-Scored US Corporate Bond Index Fund,FlexShares Credit-Scored US Corporate Bond Index Fund,,NASDAQ,Outdoors,SKOR,$40.78M,PO Box 57351,,41-4789454,NYSE,680676130-5,VG33 SWNL 0361 3336 8367 7025,65342-2030,,Peso,COP
8782,42.0,0.9021447,1,73-755-3077,FlexShares Credit-Scored US Corporate Bond Index Fund,FlexShares Credit-Scored US Corporate Bond Index Fund,,NASDAQ,Outdoors,SKOR,$40.78M,PO Box 57351,91500 Manufacturers Court,41-4789454,,NYSE,680676130-5,VG33 SWNL 0361 3336 8367 7025,65342-2030,Peso,COP
3720,43.0,0.9021447,0,73-719-1727,"Editas Medicine, Inc.","Editas Medicine, Inc.",Health Care,NASDAQ,Grocery,EDIT,$673.15M,4th Floor,4883 Corben Park,,NASDAQ,660858171-8,FR86 9294 0204 74X8 Q2YG 42MR 728,0703-2812,,Yuan Renminbi,CNY
8780,43.0,0.9021447,1,73-719-1727,"Editas Medicine, Inc.","Editas Medicine, Inc.",Health Care,NASDAQ,Grocery,EDIT,$673.15M,4th Floor,4883 Corben Park,94-0833793,,NASDAQ,660858171-8,FR86 9294 0204 74X8 Q2YG 42MR 728,0703-2812,Yuan Renminbi,CNY
3694,44.0,0.9021447,0,73-308-8255,uniQure N.V.,uniQure N.V.,Health Care,NASDAQ,Shoes,QURE,,15th Floor,67642 Raven Junction,70-6196999,NASDAQ,680261023-X,MC82 0159 0383 40LG OFRG MLBL R32,66467-3730,,Franc,XOF
8768,44.0,0.9021447,1,73-308-8255,uniQure N.V.,uniQure N.V.,Health Care,NASDAQ,Shoes,QURE,$127.38M,15th Floor,67642 Raven Junction,70-6196999,,NASDAQ,680261023-X,MC82 0159 0383 40LG OFRG MLBL R32,66467-3730,Franc,XOF
3691,45.0,0.9021447,0,73-250-2469,"WellCare Health Plans, Inc.","WellCare Health Plans, Inc.",Health Care,NYSE,Movies,WCG,$7.77B,Suite 65,96509 North Road,73-3830004,NYSE,733628535-X,HU48 5187 7901 4784 2631 3134 5108,,,Peso,PHP
8762,45.0,0.9021447,1,73-250-2469,"WellCare Health Plans, Inc.","WellCare Health Plans, Inc.",Health Care,NYSE,Movies,WCG,$7.77B,Suite 65,96509 North Road,73-3830004,,NYSE,733628535-X,HU48 5187 7901 4784 2631 3134 5108,60760-116,Peso,PHP
3660,46.0,0.9021447,0,72-718-8913,Cemtrex Inc.,Cemtrex Inc.,Capital Goods,NASDAQ,Games,CETXP,,Room 1275,84 Hollow Ridge Road,68-3251771,NASDAQ,109671602-X,VG84 WZTS 9012 0490 9048 6575,67172-011,,Euro,EUR
8733,46.0,0.9021447,1,72-718-8913,Cemtrex Inc.,Cemtrex Inc.,Capital Goods,NASDAQ,Games,CETXP,,Room 1275,,,,,,,,,
8720,47.0,0.9021447,1,72-439-1951,"SORL Auto Parts, Inc.","SORL Auto Parts, Inc.",Capital Goods,NASDAQ,Sports,SORL,$134.75M,PO Box 28078,344 Armistice Park,50-0051957,,NASDAQ,015231884-4,FO09 6358 7153 9750 72,62856-604,Yuan Renminbi,CNY
3649,47.0,0.9021447,0,72-439-1951,"SORL Auto Parts, Inc.","SORL Auto Parts, Inc.",Capital Goods,NASDAQ,Sports,SORL,$134.75M,PO Box 28078,344 Armistice Park,50-0051957,NASDAQ,015231884-4,FO09 6358 7153 9750 72,62856-604,,,
